STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
LAM00048940,"WATTAY INTERNATIONAL, LA",9/2/1952,0.24,,,81,88,75
LAM00048940,"WATTAY INTERNATIONAL, LA",9/4/1952,0.04,,,84,,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/6/1952,0.02,,,82,90,77
LAM00048940,"WATTAY INTERNATIONAL, LA",9/9/1952,0.35,,,81,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",9/10/1952,0.01,,,81,90,73
LAM00048940,"WATTAY INTERNATIONAL, LA",9/11/1952,0.02,,,83,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",9/12/1952,0.02,,,85,91,77
LAM00048940,"WATTAY INTERNATIONAL, LA",9/14/1952,0.39,,,77,84,75
LAM00048940,"WATTAY INTERNATIONAL, LA",9/16/1952,0.91,,,78,,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/17/1952,0.94,,,80,88,72
LAM00048940,"WATTAY INTERNATIONAL, LA",9/23/1952,0.12,,,79,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/24/1952,0.98,,,82,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",9/26/1952,1.38,,,74,82,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/28/1952,0.39,,,78,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/29/1952,0,,,82,88,72
LAM00048940,"WATTAY INTERNATIONAL, LA",9/30/1952,,,,81,90,70
LAM00048940,"WATTAY INTERNATIONAL, LA",10/1/1952,,,,81,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/3/1952,,,,80,88,70
LAM00048940,"WATTAY INTERNATIONAL, LA",10/4/1952,,,,79,88,68
LAM00048940,"WATTAY INTERNATIONAL, LA",10/5/1952,,,,83,90,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/6/1952,,,,81,91,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/7/1952,0.39,,,83,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/8/1952,0.43,,,83,90,75
LAM00048940,"WATTAY INTERNATIONAL, LA",10/9/1952,0,,,83,90,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/12/1952,,,,80,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/13/1952,,,,79,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/14/1952,,,,79,91,70
LAM00048940,"WATTAY INTERNATIONAL, LA",10/15/1952,0.04,,,80,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",10/16/1952,0.01,,,77,82,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/17/1952,,,,78,82,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/18/1952,,,,79,88,72
LAM00048940,"WATTAY INTERNATIONAL, LA",10/20/1952,0.51,,,81,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",10/21/1952,0,,,84,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/22/1952,0.31,,,80,84,75
LAM00048940,"WATTAY INTERNATIONAL, LA",10/23/1952,0.35,,,77,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",10/24/1952,0,,,78,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/25/1952,0.01,,,78,86,70
LAM00048940,"WATTAY INTERNATIONAL, LA",10/26/1952,0.08,,,77,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/27/1952,0.12,,,76,81,70
LAM00048940,"WATTAY INTERNATIONAL, LA",10/28/1952,0,,,77,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",10/29/1952,,,,76,86,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/30/1952,0.08,,,82,88,70
LAM00048940,"WATTAY INTERNATIONAL, LA",10/31/1952,0.2,,,76,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/1/1952,0.16,,,68,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/2/1952,0,,,74,77,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/3/1952,,,,76,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",11/4/1952,0.02,,,78,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/5/1952,0,,,77,88,70
LAM00048940,"WATTAY INTERNATIONAL, LA",11/6/1952,,,,81,,70
LAM00048940,"WATTAY INTERNATIONAL, LA",11/8/1952,0.16,,,74,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/9/1952,0,,,75,88,66
LAM00048940,"WATTAY INTERNATIONAL, LA",11/11/1952,,,,74,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/14/1952,,,,77,90,72
LAM00048940,"WATTAY INTERNATIONAL, LA",11/18/1952,,,,77,88,64
LAM00048940,"WATTAY INTERNATIONAL, LA",11/22/1952,,,,78,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",11/23/1952,,,,76,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/25/1952,,,,78,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",11/27/1952,,,,69,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/28/1952,,,,68,88,61
LAM00048940,"WATTAY INTERNATIONAL, LA",11/29/1952,,,,74,86,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/30/1952,,,,80,86,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/2/1952,,,,69,,59
LAM00048940,"WATTAY INTERNATIONAL, LA",12/3/1952,,,,74,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/4/1952,,,,69,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",12/6/1952,,,,73,,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/11/1952,,,,59,73,45
LAM00048940,"WATTAY INTERNATIONAL, LA",12/12/1952,,,,63,,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/13/1952,,,,59,77,45
LAM00048940,"WATTAY INTERNATIONAL, LA",12/14/1952,,,,60,,48
LAM00048940,"WATTAY INTERNATIONAL, LA",12/15/1952,,,,71,,50
LAM00048940,"WATTAY INTERNATIONAL, LA",12/16/1952,,,,67,79,55
LAM00048940,"WATTAY INTERNATIONAL, LA",12/17/1952,,,,69,79,52
LAM00048940,"WATTAY INTERNATIONAL, LA",12/18/1952,,,,62,,50
LAM00048940,"WATTAY INTERNATIONAL, LA",12/20/1952,0.02,,,70,82,54
LAM00048940,"WATTAY INTERNATIONAL, LA",12/21/1952,0.35,,,74,,55
LAM00048940,"WATTAY INTERNATIONAL, LA",12/22/1952,0,,,65,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/23/1952,,,,74,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/24/1952,1.18,,,64,86,54
LAM00048940,"WATTAY INTERNATIONAL, LA",12/25/1952,0,,,69,,54
LAM00048940,"WATTAY INTERNATIONAL, LA",12/26/1952,,,,74,,61
LAM00048940,"WATTAY INTERNATIONAL, LA",12/27/1952,,,,70,,57
LAM00048940,"WATTAY INTERNATIONAL, LA",12/28/1952,,,,73,82,59
LAM00048940,"WATTAY INTERNATIONAL, LA",12/29/1952,,,,68,82,54
LAM00048940,"WATTAY INTERNATIONAL, LA",12/30/1952,,,,70,,55
LAM00048940,"WATTAY INTERNATIONAL, LA",12/31/1952,,,,71,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/1/1953,,,,65,81,54
LAM00048940,"WATTAY INTERNATIONAL, LA",1/2/1953,,,,71,82,52
LAM00048940,"WATTAY INTERNATIONAL, LA",1/3/1953,,,,73,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/5/1953,,,,76,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/6/1953,0.08,,,67,82,57
LAM00048940,"WATTAY INTERNATIONAL, LA",1/7/1953,0,,,66,79,54
LAM00048940,"WATTAY INTERNATIONAL, LA",1/8/1953,,,,66,,52
LAM00048940,"WATTAY INTERNATIONAL, LA",1/9/1953,,,,66,,52
LAM00048940,"WATTAY INTERNATIONAL, LA",1/10/1953,,,,66,,52
LAM00048940,"WATTAY INTERNATIONAL, LA",1/12/1953,,,,74,,55
LAM00048940,"WATTAY INTERNATIONAL, LA",1/14/1953,,,,77,90,61
LAM00048940,"WATTAY INTERNATIONAL, LA",1/15/1953,,,,74,88,70
LAM00048940,"WATTAY INTERNATIONAL, LA",1/16/1953,,,,76,86,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/17/1953,,,,75,86,63
LAM00048940,"WATTAY INTERNATIONAL, LA",1/18/1953,,,,75,,63
LAM00048940,"WATTAY INTERNATIONAL, LA",1/19/1953,,,,78,88,61
LAM00048940,"WATTAY INTERNATIONAL, LA",1/20/1953,,,,71,88,59
LAM00048940,"WATTAY INTERNATIONAL, LA",1/21/1953,,,,70,86,57
LAM00048940,"WATTAY INTERNATIONAL, LA",1/22/1953,,,,69,86,57
LAM00048940,"WATTAY INTERNATIONAL, LA",1/23/1953,0.02,,,72,,57
LAM00048940,"WATTAY INTERNATIONAL, LA",1/25/1953,0.31,,,70,82,66
LAM00048940,"WATTAY INTERNATIONAL, LA",1/26/1953,,,,73,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/27/1953,,,,74,,63
LAM00048940,"WATTAY INTERNATIONAL, LA",1/28/1953,0.04,,,68,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",1/30/1953,0.04,,,73,79,68
LAM00048940,"WATTAY INTERNATIONAL, LA",1/31/1953,0.02,,,76,82,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/1/1953,0.39,,,70,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",2/3/1953,0.24,,,69,72,66
LAM00048940,"WATTAY INTERNATIONAL, LA",2/4/1953,,,,74,84,66
LAM00048940,"WATTAY INTERNATIONAL, LA",2/5/1953,0.28,,,74,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",2/7/1953,,,,76,82,70
LAM00048940,"WATTAY INTERNATIONAL, LA",2/8/1953,,,,73,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",2/9/1953,0.79,,,74,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",2/10/1953,0,,,74,86,61
LAM00048940,"WATTAY INTERNATIONAL, LA",2/12/1953,,,,74,90,59
LAM00048940,"WATTAY INTERNATIONAL, LA",2/13/1953,,,,71,90,59
LAM00048940,"WATTAY INTERNATIONAL, LA",2/14/1953,,,,77,,59
LAM00048940,"WATTAY INTERNATIONAL, LA",2/16/1953,,,,80,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",2/17/1953,,,,79,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",2/18/1953,,,,79,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/19/1953,0.08,,,68,,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/21/1953,,,,67,72,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/22/1953,,,,67,,61
LAM00048940,"WATTAY INTERNATIONAL, LA",2/24/1953,,,,80,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",2/25/1953,,,,82,91,70
LAM00048940,"WATTAY INTERNATIONAL, LA",2/26/1953,,,,76,88,66
LAM00048940,"WATTAY INTERNATIONAL, LA",2/27/1953,0.04,,,76,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/28/1953,0,,,80,90,64
LAM00048940,"WATTAY INTERNATIONAL, LA",3/1/1953,,,,80,93,64
LAM00048940,"WATTAY INTERNATIONAL, LA",3/2/1953,,,,80,93,64
LAM00048940,"WATTAY INTERNATIONAL, LA",3/3/1953,,,,76,91,64
LAM00048940,"WATTAY INTERNATIONAL, LA",3/5/1953,0.08,,,78,86,72
LAM00048940,"WATTAY INTERNATIONAL, LA",3/6/1953,0.04,,,72,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/7/1953,,,,77,,59
LAM00048940,"WATTAY INTERNATIONAL, LA",3/8/1953,,,,76,88,64
LAM00048940,"WATTAY INTERNATIONAL, LA",3/9/1953,,,,80,90,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/10/1953,0.2,,,81,91,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/11/1953,0,,,81,95,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/12/1953,,,,82,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/13/1953,0.39,,,82,95,66
LAM00048940,"WATTAY INTERNATIONAL, LA",3/14/1953,0,,,82,95,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/15/1953,,,,82,95,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/16/1953,,,,83,97,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/17/1953,,,,82,93,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/18/1953,,,,80,97,66
LAM00048940,"WATTAY INTERNATIONAL, LA",3/19/1953,,,,82,95,66
LAM00048940,"WATTAY INTERNATIONAL, LA",3/20/1953,0.31,,,79,97,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/21/1953,0.39,,,80,97,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/22/1953,0,,,83,93,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/23/1953,,,,81,91,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/24/1953,,,,82,91,72
LAM00048940,"WATTAY INTERNATIONAL, LA",3/25/1953,,,,83,93,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/26/1953,,,,81,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/27/1953,,,,80,95,68
LAM00048940,"WATTAY INTERNATIONAL, LA",3/28/1953,,,,81,93,63
LAM00048940,"WATTAY INTERNATIONAL, LA",3/29/1953,,,,80,91,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/30/1953,0.39,,,80,88,72
LAM00048940,"WATTAY INTERNATIONAL, LA",3/31/1953,0,,,81,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/1/1953,,,,74,82,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/2/1953,,,,75,86,70
LAM00048940,"WATTAY INTERNATIONAL, LA",4/3/1953,,,,76,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/4/1953,,,,77,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",4/5/1953,0.02,,,79,95,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/6/1953,0.01,,,84,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/7/1953,0,,,82,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",4/8/1953,,,,83,93,73
LAM00048940,"WATTAY INTERNATIONAL, LA",4/9/1953,0.04,,,84,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/10/1953,0.2,,,82,93,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/11/1953,0.02,,,80,,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/12/1953,0.02,,,81,93,70
LAM00048940,"WATTAY INTERNATIONAL, LA",4/13/1953,,,,83,93,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/14/1953,,,,84,99,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/15/1953,,,,84,100,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/16/1953,,,,87,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/17/1953,,,,86,102,77
LAM00048940,"WATTAY INTERNATIONAL, LA",4/19/1953,0.12,,,82,93,73
LAM00048940,"WATTAY INTERNATIONAL, LA",4/20/1953,0,,,80,90,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/21/1953,0.08,,,77,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/22/1953,,,,79,91,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/23/1953,0.01,,,76,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/24/1953,,,,73,82,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/25/1953,0.08,,,79,91,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/26/1953,0,,,82,97,75
LAM00048940,"WATTAY INTERNATIONAL, LA",4/27/1953,,,,76,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",4/28/1953,0.16,,,83,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",4/29/1953,,,,78,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",4/30/1953,,,,83,93,72
LAM00048940,"WATTAY INTERNATIONAL, LA",5/1/1953,0.87,,,75,88,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/3/1953,0.79,,,81,,
LAM00048940,"WATTAY INTERNATIONAL, LA",5/4/1953,0.12,,,77,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",5/5/1953,,,,83,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/6/1953,0.04,,,78,,
LAM00048940,"WATTAY INTERNATIONAL, LA",5/7/1953,0.01,,,82,88,72
LAM00048940,"WATTAY INTERNATIONAL, LA",5/10/1953,0.12,,,80,,
LAM00048940,"WATTAY INTERNATIONAL, LA",5/12/1953,0.08,,,81,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/13/1953,,,,85,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/14/1953,,,,85,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/15/1953,0.04,,,79,,72
LAM00048940,"WATTAY INTERNATIONAL, LA",5/16/1953,0.2,,,83,93,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/19/1953,,,,83,90,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/20/1953,0.04,,,81,90,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/21/1953,,,,85,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/22/1953,,,,84,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/23/1953,,,,85,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/24/1953,0.2,,,81,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/25/1953,1.5,,,82,90,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/26/1953,0.01,,,80,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/27/1953,0.31,,,83,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/28/1953,0,,,85,,77
LAM00048940,"WATTAY INTERNATIONAL, LA",5/29/1953,0.02,,,85,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/30/1953,,,,85,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/31/1953,,,,84,93,75
LAM00048940,"WATTAY INTERNATIONAL, LA",6/1/1953,0.2,,,83,91,
LAM00048940,"WATTAY INTERNATIONAL, LA",6/2/1953,0.02,,,81,88,73
LAM00048940,"WATTAY INTERNATIONAL, LA",6/3/1953,0.28,,,78,81,72
LAM00048940,"WATTAY INTERNATIONAL, LA",6/4/1953,,,,83,90,73
LAM00048940,"WATTAY INTERNATIONAL, LA",6/5/1953,,,,84,90,75
LAM00048940,"WATTAY INTERNATIONAL, LA",6/6/1953,0.39,,,80,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",6/7/1953,0.12,,,80,84,75
