STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,NewDate
LAW00041051,"VIENTIANE, LA",1969-04-30,0,0,0,99,81,1969-04-30
LAW00041051,"VIENTIANE, LA",1969-05-01,0,0,0,97,79,1969-05-01
LAW00041051,"VIENTIANE, LA",1969-05-02,0,0,0,95,79,1969-05-02
LAW00041051,"VIENTIANE, LA",1969-05-03,0.03,0,0,99,79,1969-05-03
LAW00041051,"VIENTIANE, LA",1969-05-04,0,0,0,102,79,1969-05-04
LAW00041051,"VIENTIANE, LA",1969-05-05,0,0,0,104,81,1969-05-05
LAW00041051,"VIENTIANE, LA",1969-05-06,1.02,0,0,91,72,1969-05-06
LAW00041051,"VIENTIANE, LA",1969-05-07,0,0,0,95,79,1969-05-07
LAW00041051,"VIENTIANE, LA",1969-05-08,0.08,0,0,84,75,1969-05-08
LAW00041051,"VIENTIANE, LA",1969-05-09,0,0,0,91,75,1969-05-09
LAW00041051,"VIENTIANE, LA",1969-05-10,0.02,0,0,95,77,1969-05-10
LAW00041051,"VIENTIANE, LA",1969-05-11,0,0,0,99,79,1969-05-11
LAW00041051,"VIENTIANE, LA",1969-05-12,0,0,0,100,81,1969-05-12
LAW00041051,"VIENTIANE, LA",1969-05-13,0,0,0,102,81,1969-05-13
LAW00041051,"VIENTIANE, LA",1969-05-14,0,0,0,106,82,1969-05-14
LAW00041051,"VIENTIANE, LA",1969-05-15,1.26,0,0,97,73,1969-05-15
LAW00041051,"VIENTIANE, LA",1969-05-16,0.22,0,0,95,75,1969-05-16
LAW00041051,"VIENTIANE, LA",1969-05-17,0,0,0,97,79,1969-05-17
LAW00041051,"VIENTIANE, LA",1969-05-18,0,0,0,97,79,1969-05-18
LAW00041051,"VIENTIANE, LA",1969-05-19,0,0,0,100,77,1969-05-19
LAW00041051,"VIENTIANE, LA",1969-05-20,0.05,0,0,99,79,1969-05-20
LAW00041051,"VIENTIANE, LA",1969-05-21,0.03,0,0,95,75,1969-05-21
LAW00041051,"VIENTIANE, LA",1969-05-22,1.35,0,0,91,73,1969-05-22
LAW00041051,"VIENTIANE, LA",1969-05-23,0.48,0,0,91,75,1969-05-23
LAW00041051,"VIENTIANE, LA",1969-05-24,0.02,0,0,93,75,1969-05-24
LAW00041051,"VIENTIANE, LA",1969-05-25,0,0,0,95,75,1969-05-25
LAW00041051,"VIENTIANE, LA",1969-05-26,0.87,0,0,91,75,1969-05-26
LAW00041051,"VIENTIANE, LA",1969-05-27,0.35,0,0,82,72,1969-05-27
LAW00041051,"VIENTIANE, LA",1969-05-28,0.46,0,0,82,66,1969-05-28
LAW00041051,"VIENTIANE, LA",1969-05-29,0.4,0,0,81,73,1969-05-29
LAW00041051,"VIENTIANE, LA",1969-05-30,1.47,0,0,82,75,1969-05-30
LAW00041051,"VIENTIANE, LA",1969-05-31,0.83,0,0,90,75,1969-05-31
LAW00041051,"VIENTIANE, LA",1969-06-01,0.13,0,0,90,75,1969-06-01
LAW00041051,"VIENTIANE, LA",1969-06-02,0.41,0,0,90,75,1969-06-02
LAW00041051,"VIENTIANE, LA",1969-06-03,1.17,0,0,91,79,1969-06-03
LAW00041051,"VIENTIANE, LA",1969-06-04,0.15,0,0,90,75,1969-06-04
LAW00041051,"VIENTIANE, LA",1969-06-05,0.66,0,0,82,79,1969-06-05
LAW00041051,"VIENTIANE, LA",1969-06-06,1.06,0,0,90,75,1969-06-06
LAW00041051,"VIENTIANE, LA",1969-06-07,1.56,0,0,84,73,1969-06-07
LAW00041051,"VIENTIANE, LA",1969-06-08,1.54,0,0,88,73,1969-06-08
LAW00041051,"VIENTIANE, LA",1969-06-09,0.08,0,0,91,77,1969-06-09
LAW00041051,"VIENTIANE, LA",1969-06-10,0.43,0,0,91,79,1969-06-10
LAW00041051,"VIENTIANE, LA",1969-06-11,0.03,0,0,91,79,1969-06-11
LAW00041051,"VIENTIANE, LA",1969-06-12,0,0,0,93,79,1969-06-12
LAW00041051,"VIENTIANE, LA",1969-06-13,0.34,0,0,91,79,1969-06-13
LAW00041051,"VIENTIANE, LA",1969-06-14,0.03,0,0,91,79,1969-06-14
LAW00041051,"VIENTIANE, LA",1969-06-15,0,0,0,93,79,1969-06-15
LAW00041051,"VIENTIANE, LA",1969-06-16,0.21,0,0,90,77,1969-06-16
LAW00041051,"VIENTIANE, LA",1969-06-17,0.23,0,0,84,77,1969-06-17
LAW00041051,"VIENTIANE, LA",1969-06-18,1.3,0,0,90,73,1969-06-18
LAW00041051,"VIENTIANE, LA",1969-06-19,0.63,0,0,88,75,1969-06-19
LAW00041051,"VIENTIANE, LA",1969-06-20,0.08,0,0,90,75,1969-06-20
LAW00041051,"VIENTIANE, LA",1969-06-21,0.53,0,0,88,77,1969-06-21
LAW00041051,"VIENTIANE, LA",1969-06-22,0,0,0,91,79,1969-06-22
LAW00041051,"VIENTIANE, LA",1969-06-23,0.04,0,0,93,79,1969-06-23
LAW00041051,"VIENTIANE, LA",1969-06-24,0,0,0,95,79,1969-06-24
LAW00041051,"VIENTIANE, LA",1969-06-25,0.01,0,0,90,81,1969-06-25
LAW00041051,"VIENTIANE, LA",1969-06-26,0,0,0,93,75,1969-06-26
LAW00041051,"VIENTIANE, LA",1969-06-27,0.06,0,0,90,79,1969-06-27
LAW00041051,"VIENTIANE, LA",1969-06-28,0.78,0,0,91,73,1969-06-28
LAW00041051,"VIENTIANE, LA",1969-06-29,0.43,0,0,93,75,1969-06-29
LAW00041051,"VIENTIANE, LA",1969-06-30,0,0,0,90,79,1969-06-30
LAW00041051,"VIENTIANE, LA",1969-07-01,0.03,0,0,90,79,1969-07-01
LAW00041051,"VIENTIANE, LA",1969-07-02,0.53,0,0,90,75,1969-07-02
LAW00041051,"VIENTIANE, LA",1969-07-03,1.04,0,0,88,79,1969-07-03
LAW00041051,"VIENTIANE, LA",1969-07-04,1.1,0,0,91,79,1969-07-04
LAW00041051,"VIENTIANE, LA",1969-07-05,0.01,0,0,91,75,1969-07-05
LAW00041051,"VIENTIANE, LA",1969-07-06,0,0,0,91,79,1969-07-06
LAW00041051,"VIENTIANE, LA",1969-07-07,0,0,0,91,81,1969-07-07
LAW00041051,"VIENTIANE, LA",1969-07-08,0.93,0,0,86,75,1969-07-08
LAW00041051,"VIENTIANE, LA",1969-07-09,0.27,0,0,91,77,1969-07-09
LAW00041051,"VIENTIANE, LA",1969-07-10,0,0,0,93,79,1969-07-10
LAW00041051,"VIENTIANE, LA",1969-07-11,0,0,0,95,79,1969-07-11
LAW00041051,"VIENTIANE, LA",1969-07-12,4.93,0,0,84,75,1969-07-12
LAW00041051,"VIENTIANE, LA",1969-07-13,2.2,0,0,84,73,1969-07-13
LAW00041051,"VIENTIANE, LA",1969-07-14,0.95,0,0,91,75,1969-07-14
LAW00041051,"VIENTIANE, LA",1969-07-15,0,0,0,93,77,1969-07-15
LAW00041051,"VIENTIANE, LA",1969-07-16,0,0,0,93,79,1969-07-16
LAW00041051,"VIENTIANE, LA",1969-07-17,0,0,0,90,79,1969-07-17
LAW00041051,"VIENTIANE, LA",1969-07-18,0.01,0,0,88,77,1969-07-18
LAW00041051,"VIENTIANE, LA",1969-07-19,0.38,0,0,84,77,1969-07-19
LAW00041051,"VIENTIANE, LA",1969-07-20,1.63,0,0,86,73,1969-07-20
LAW00041051,"VIENTIANE, LA",1969-07-21,0.07,0,0,90,75,1969-07-21
LAW00041051,"VIENTIANE, LA",1969-07-22,0.18,0,0,91,75,1969-07-22
LAW00041051,"VIENTIANE, LA",1969-07-23,0.12,0,0,93,77,1969-07-23
LAW00041051,"VIENTIANE, LA",1969-07-24,0.27,0,0,81,75,1969-07-24
LAW00041051,"VIENTIANE, LA",1969-07-25,0.01,0,0,90,77,1969-07-25
LAW00041051,"VIENTIANE, LA",1969-07-26,0,0,0,91,79,1969-07-26
LAW00041051,"VIENTIANE, LA",1969-07-27,0.16,0,0,90,77,1969-07-27
LAW00041051,"VIENTIANE, LA",1969-07-28,0.53,0,0,88,75,1969-07-28
LAW00041051,"VIENTIANE, LA",1969-07-29,0,0,0,90,79,1969-07-29
LAW00041051,"VIENTIANE, LA",1969-07-30,0,0,0,88,79,1969-07-30
LAW00041051,"VIENTIANE, LA",1969-07-31,0.03,0,0,88,79,1969-07-31
LAW00041051,"VIENTIANE, LA",1969-08-01,0.36,0,0,90,77,1969-08-01
LAW00041051,"VIENTIANE, LA",1969-08-02,0,0,0,91,75,1969-08-02
LAW00041051,"VIENTIANE, LA",1969-08-03,0,0,0,93,79,1969-08-03
LAW00041051,"VIENTIANE, LA",1969-08-04,0,0,0,91,79,1969-08-04
LAW00041051,"VIENTIANE, LA",1969-08-05,0.15,0,0,90,79,1969-08-05
LAW00041051,"VIENTIANE, LA",1969-08-06,0,0,0,91,77,1969-08-06
LAW00041051,"VIENTIANE, LA",1969-08-07,0.12,0,0,84,75,1969-08-07
LAW00041051,"VIENTIANE, LA",1969-08-08,0.37,0,0,82,75,1969-08-08
LAW00041051,"VIENTIANE, LA",1969-08-09,0.5,0,0,82,75,1969-08-09
LAW00041051,"VIENTIANE, LA",1969-08-10,0.04,0,0,90,75,1969-08-10
LAW00041051,"VIENTIANE, LA",1969-08-11,0.11,0,0,82,73,1969-08-11
LAW00041051,"VIENTIANE, LA",1969-08-12,0.92,0,0,77,73,1969-08-12
LAW00041051,"VIENTIANE, LA",1969-08-13,1.26,0,0,82,73,1969-08-13
LAW00041051,"VIENTIANE, LA",1969-08-14,0.36,0,0,88,72,1969-08-14
LAW00041051,"VIENTIANE, LA",1969-08-15,0,0,0,90,75,1969-08-15
LAW00041051,"VIENTIANE, LA",1969-08-16,0,0,0,90,75,1969-08-16
LAW00041051,"VIENTIANE, LA",1969-08-17,0.03,0,0,86,75,1969-08-17
LAW00041051,"VIENTIANE, LA",1969-08-18,0.14,0,0,90,73,1969-08-18
LAW00041051,"VIENTIANE, LA",1969-08-19,0.45,0,0,88,75,1969-08-19
LAW00041051,"VIENTIANE, LA",1969-08-20,0,0,0,90,75,1969-08-20
LAW00041051,"VIENTIANE, LA",1969-08-21,0,0,0,93,73,1969-08-21
LAW00041051,"VIENTIANE, LA",1969-08-22,0,0,0,91,75,1969-08-22
LAW00041051,"VIENTIANE, LA",1969-08-23,0,0,0,93,79,1969-08-23
LAW00041051,"VIENTIANE, LA",1969-08-24,0,0,0,93,79,1969-08-24
LAW00041051,"VIENTIANE, LA",1969-08-25,0,0,0,95,79,1969-08-25
LAW00041051,"VIENTIANE, LA",1969-08-26,0,0,0,90,81,1969-08-26
LAW00041051,"VIENTIANE, LA",1969-08-27,0,0,0,88,75,1969-08-27
LAW00041051,"VIENTIANE, LA",1969-08-28,0,0,0,90,79,1969-08-28
LAW00041051,"VIENTIANE, LA",1969-08-29,0.04,0,0,88,77,1969-08-29
LAW00041051,"VIENTIANE, LA",1969-08-30,0,0,0,91,77,1969-08-30
LAW00041051,"VIENTIANE, LA",1969-08-31,0,0,0,93,77,1969-08-31
LAW00041051,"VIENTIANE, LA",1969-09-01,0,0,0,95,77,1969-09-01
LAW00041051,"VIENTIANE, LA",1969-09-02,0,0,0,91,77,1969-09-02
LAW00041051,"VIENTIANE, LA",1969-09-03,0.98,0,0,81,75,1969-09-03
LAW00041051,"VIENTIANE, LA",1969-09-04,0.26,0,0,84,73,1969-09-04
LAW00041051,"VIENTIANE, LA",1969-09-05,0.37,0,0,88,75,1969-09-05
LAW00041051,"VIENTIANE, LA",1969-09-06,0,0,0,90,75,1969-09-06
LAW00041051,"VIENTIANE, LA",1969-09-07,0,0,0,93,75,1969-09-07
LAW00041051,"VIENTIANE, LA",1969-09-08,0,0,0,95,75,1969-09-08
LAW00041051,"VIENTIANE, LA",1969-09-09,0.11,0,0,93,75,1969-09-09
LAW00041051,"VIENTIANE, LA",1969-09-10,0,0,0,93,79,1969-09-10
LAW00041051,"VIENTIANE, LA",1969-09-11,1.79,0,0,90,72,1969-09-11
LAW00041051,"VIENTIANE, LA",1969-09-12,0.05,0,0,84,79,1969-09-12
LAW00041051,"VIENTIANE, LA",1969-09-13,0,0,0,91,77,1969-09-13
LAW00041051,"VIENTIANE, LA",1969-09-14,0.77,0,0,88,77,1969-09-14
LAW00041051,"VIENTIANE, LA",1969-09-15,1.19,0,0,81,72,1969-09-15
LAW00041051,"VIENTIANE, LA",1969-09-16,0.03,0,0,81,75,1969-09-16
LAW00041051,"VIENTIANE, LA",1969-09-17,0.39,0,0,79,73,1969-09-17
LAW00041051,"VIENTIANE, LA",1969-09-18,0.01,0,0,90,73,1969-09-18
LAW00041051,"VIENTIANE, LA",1969-09-19,0,0,0,86,73,1969-09-19
LAW00041051,"VIENTIANE, LA",1969-09-20,0,0,0,84,75,1969-09-20
LAW00041051,"VIENTIANE, LA",1969-09-21,0.73,0,0,81,73,1969-09-21
LAW00041051,"VIENTIANE, LA",1969-09-22,0.01,0,0,84,73,1969-09-22
LAW00041051,"VIENTIANE, LA",1969-09-23,0,0,0,91,75,1969-09-23
LAW00041051,"VIENTIANE, LA",1969-09-24,0,0,0,95,75,1969-09-24
LAW00041051,"VIENTIANE, LA",1969-09-25,0,0,0,93,77,1969-09-25
LAW00041051,"VIENTIANE, LA",1969-09-26,0,0,0,93,75,1969-09-26
LAW00041051,"VIENTIANE, LA",1969-09-27,0,0,0,95,77,1969-09-27
LAW00041051,"VIENTIANE, LA",1969-09-28,0.99,0,0,88,72,1969-09-28
LAW00041051,"VIENTIANE, LA",1969-09-29,0,0,0,91,77,1969-09-29
LAW00041051,"VIENTIANE, LA",1969-09-30,0.18,0,0,88,73,1969-09-30
LAW00041051,"VIENTIANE, LA",1969-10-01,2.16,0,0,90,73,1969-10-01
LAW00041051,"VIENTIANE, LA",1969-10-02,0,0,0,88,73,1969-10-02
LAW00041051,"VIENTIANE, LA",1969-10-03,0,0,0,90,75,1969-10-03
LAW00041051,"VIENTIANE, LA",1969-10-04,0,0,0,90,73,1969-10-04
LAW00041051,"VIENTIANE, LA",1969-10-05,0,0,0,88,72,1969-10-05
LAW00041051,"VIENTIANE, LA",1969-10-06,0,0,0,90,72,1969-10-06
LAW00041051,"VIENTIANE, LA",1969-10-07,0,0,0,90,70,1969-10-07
LAW00041051,"VIENTIANE, LA",1969-10-08,0,0,0,88,72,1969-10-08
LAW00041051,"VIENTIANE, LA",1969-10-09,0,0,0,90,75,1969-10-09
LAW00041051,"VIENTIANE, LA",1969-10-10,0,0,0,88,73,1969-10-10
LAW00041051,"VIENTIANE, LA",1969-10-11,0,0,0,88,70,1969-10-11
LAW00041051,"VIENTIANE, LA",1969-10-12,0,0,0,90,70,1969-10-12
LAW00041051,"VIENTIANE, LA",1969-10-13,0,0,0,91,72,1969-10-13
LAW00041051,"VIENTIANE, LA",1969-10-14,0,0,0,91,73,1969-10-14
LAW00041051,"VIENTIANE, LA",1969-10-15,0.14,0,0,90,75,1969-10-15
LAW00041051,"VIENTIANE, LA",1969-10-16,0,0,0,93,75,1969-10-16
LAW00041051,"VIENTIANE, LA",1969-10-17,0,0,0,93,75,1969-10-17
LAW00041051,"VIENTIANE, LA",1969-10-18,0.09,0,0,95,75,1969-10-18
LAW00041051,"VIENTIANE, LA",1969-10-19,0.14,0,0,91,75,1969-10-19
LAW00041051,"VIENTIANE, LA",1969-10-20,0,0,0,90,79,1969-10-20
LAW00041051,"VIENTIANE, LA",1969-10-21,0,0,0,91,77,1969-10-21
LAW00041051,"VIENTIANE, LA",1969-10-22,0.95,0,0,91,75,1969-10-22
LAW00041051,"VIENTIANE, LA",1969-10-23,0.31,0,0,90,73,1969-10-23
LAW00041051,"VIENTIANE, LA",1969-10-24,0,0,0,91,75,1969-10-24
LAW00041051,"VIENTIANE, LA",1969-10-25,0.07,0,0,86,73,1969-10-25
LAW00041051,"VIENTIANE, LA",1969-10-26,0,0,0,91,72,1969-10-26
LAW00041051,"VIENTIANE, LA",1969-10-27,0.2,0,0,88,72,1969-10-27
LAW00041051,"VIENTIANE, LA",1969-10-28,0,0,0,90,73,1969-10-28
LAW00041051,"VIENTIANE, LA",1969-10-29,0,0,0,91,75,1969-10-29
LAW00041051,"VIENTIANE, LA",1969-10-30,0,0,0,91,75,1969-10-30
LAW00041051,"VIENTIANE, LA",1969-10-31,0,0,0,90,75,1969-10-31
LAW00041051,"VIENTIANE, LA",1969-11-01,0,0,0,91,75,1969-11-01
LAW00041051,"VIENTIANE, LA",1969-11-02,0.4,0,0,82,73,1969-11-02
LAW00041051,"VIENTIANE, LA",1969-11-03,0.12,0,0,82,73,1969-11-03
LAW00041051,"VIENTIANE, LA",1969-11-04,0,0,0,82,72,1969-11-04
LAW00041051,"VIENTIANE, LA",1969-11-05,0,0,0,84,72,1969-11-05
LAW00041051,"VIENTIANE, LA",1969-11-06,0,0,0,86,66,1969-11-06
LAW00041051,"VIENTIANE, LA",1969-11-07,0,0,0,82,72,1969-11-07
LAW00041051,"VIENTIANE, LA",1969-11-08,0,0,0,81,68,1969-11-08
LAW00041051,"VIENTIANE, LA",1969-11-09,0,0,0,82,68,1969-11-09
LAW00041051,"VIENTIANE, LA",1969-11-10,0,0,0,84,63,1969-11-10
LAW00041051,"VIENTIANE, LA",1969-11-11,0,0,0,82,61,1969-11-11
LAW00041051,"VIENTIANE, LA",1969-11-12,0,0,0,86,61,1969-11-12
LAW00041051,"VIENTIANE, LA",1969-11-13,0,0,0,88,64,1969-11-13
LAW00041051,"VIENTIANE, LA",1969-11-14,0,0,0,90,66,1969-11-14
LAW00041051,"VIENTIANE, LA",1969-11-15,0,0,0,90,70,1969-11-15
LAW00041051,"VIENTIANE, LA",1969-11-16,0,0,0,93,73,1969-11-16
LAW00041051,"VIENTIANE, LA",1969-11-17,0,0,0,91,72,1969-11-17
LAW00041051,"VIENTIANE, LA",1969-11-18,0,0,0,88,73,1969-11-18
LAW00041051,"VIENTIANE, LA",1969-11-19,0,0,0,88,66,1969-11-19
LAW00041051,"VIENTIANE, LA",1969-11-20,0,0,0,86,66,1969-11-20
LAW00041051,"VIENTIANE, LA",1969-11-21,0,0,0,88,66,1969-11-21
LAW00041051,"VIENTIANE, LA",1969-11-22,0,0,0,88,68,1969-11-22
LAW00041051,"VIENTIANE, LA",1969-11-23,0,0,0,82,68,1969-11-23
LAW00041051,"VIENTIANE, LA",1969-11-24,0,0,0,82,70,1969-11-24
LAW00041051,"VIENTIANE, LA",1969-11-25,0,0,0,77,63,1969-11-25
LAW00041051,"VIENTIANE, LA",1969-11-26,0,0,0,79,59,1969-11-26
LAW00041051,"VIENTIANE, LA",1969-11-27,0,0,0,77,57,1969-11-27
LAW00041051,"VIENTIANE, LA",1969-11-28,0,0,0,81,55,1969-11-28
LAW00041051,"VIENTIANE, LA",1969-11-29,0,0,0,81,64,1969-11-29
LAW00041051,"VIENTIANE, LA",1969-11-30,0,0,0,79,57,1969-11-30
LAW00041051,"VIENTIANE, LA",1969-12-01,0,0,0,82,59,1969-12-01
LAW00041051,"VIENTIANE, LA",1969-12-02,0,0,0,79,61,1969-12-02
LAW00041051,"VIENTIANE, LA",1969-12-03,0,0,0,75,59,1969-12-03
LAW00041051,"VIENTIANE, LA",1969-12-04,0,0,0,75,54,1969-12-04
LAW00041051,"VIENTIANE, LA",1969-12-05,0,0,0,79,50,1969-12-05
LAW00041051,"VIENTIANE, LA",1969-12-06,0,0,0,82,54,1969-12-06
LAW00041051,"VIENTIANE, LA",1969-12-07,0,0,0,88,55,1969-12-07
LAW00041051,"VIENTIANE, LA",1969-12-08,0,0,0,84,55,1969-12-08
LAW00041051,"VIENTIANE, LA",1969-12-09,0,0,0,79,57,1969-12-09
LAW00041051,"VIENTIANE, LA",1969-12-10,0,0,0,73,54,1969-12-10
LAW00041051,"VIENTIANE, LA",1969-12-11,0,0,0,79,52,1969-12-11
LAW00041051,"VIENTIANE, LA",1969-12-12,0,0,0,82,50,1969-12-12
LAW00041051,"VIENTIANE, LA",1969-12-13,0,0,0,81,54,1969-12-13
LAW00041051,"VIENTIANE, LA",1969-12-14,0,0,0,79,54,1969-12-14
LAW00041051,"VIENTIANE, LA",1969-12-15,0,0,0,81,54,1969-12-15
LAW00041051,"VIENTIANE, LA",1969-12-16,0,0,0,81,61,1969-12-16
LAW00041051,"VIENTIANE, LA",1969-12-17,0,0,0,84,63,1969-12-17
LAW00041051,"VIENTIANE, LA",1969-12-18,0,0,0,79,64,1969-12-18
LAW00041051,"VIENTIANE, LA",1969-12-19,0,0,0,81,61,1969-12-19
LAW00041051,"VIENTIANE, LA",1969-12-20,0,0,0,81,59,1969-12-20
LAW00041051,"VIENTIANE, LA",1969-12-21,0,0,0,82,57,1969-12-21
LAW00041051,"VIENTIANE, LA",1969-12-22,0,0,0,81,55,1969-12-22
LAW00041051,"VIENTIANE, LA",1969-12-23,0,0,0,82,55,1969-12-23
LAW00041051,"VIENTIANE, LA",1969-12-24,0,0,0,82,52,1969-12-24
LAW00041051,"VIENTIANE, LA",1969-12-25,0,0,0,86,61,1969-12-25
LAW00041051,"VIENTIANE, LA",1969-12-26,0,0,0,88,64,1969-12-26
LAW00041051,"VIENTIANE, LA",1969-12-27,0,0,0,84,61,1969-12-27
LAW00041051,"VIENTIANE, LA",1969-12-28,0,0,0,82,63,1969-12-28
LAW00041051,"VIENTIANE, LA",1969-12-29,0,0,0,82,55,1969-12-29
LAW00041051,"VIENTIANE, LA",1969-12-30,0,0,0,86,57,1969-12-30
LAW00041051,"VIENTIANE, LA",1969-12-31,0,0,0,82,57,1969-12-31
LAW00041051,"VIENTIANE, LA",1970-01-01,0,0,0,84,57,1970-01-01
LAW00041051,"VIENTIANE, LA",1970-01-02,0,0,0,88,61,1970-01-02
LAW00041051,"VIENTIANE, LA",1970-01-03,0,0,0,82,57,1970-01-03
LAW00041051,"VIENTIANE, LA",1970-01-04,0,0,0,82,57,1970-01-04
LAW00041051,"VIENTIANE, LA",1970-01-05,0,0,0,77,64,1970-01-05
LAW00041051,"VIENTIANE, LA",1970-01-06,0,0,0,81,66,1970-01-06
LAW00041051,"VIENTIANE, LA",1970-01-07,0,0,0,84,61,1970-01-07
LAW00041051,"VIENTIANE, LA",1970-01-08,0,0,0,84,61,1970-01-08
LAW00041051,"VIENTIANE, LA",1970-01-09,0,0,0,84,63,1970-01-09
LAW00041051,"VIENTIANE, LA",1970-01-10,0,0,0,84,66,1970-01-10
LAW00041051,"VIENTIANE, LA",1970-01-11,0,0,0,73,63,1970-01-11
LAW00041051,"VIENTIANE, LA",1970-01-12,0.03,0,0,72,64,1970-01-12
LAW00041051,"VIENTIANE, LA",1970-01-13,0,0,0,88,63,1970-01-13
LAW00041051,"VIENTIANE, LA",1970-01-14,0,0,0,90,63,1970-01-14
LAW00041051,"VIENTIANE, LA",1970-01-15,0,0,0,82,64,1970-01-15
LAW00041051,"VIENTIANE, LA",1970-01-16,0,0,0,66,61,1970-01-16
LAW00041051,"VIENTIANE, LA",1970-01-17,0,0,0,82,61,1970-01-17
LAW00041051,"VIENTIANE, LA",1970-01-18,0,0,0,79,57,1970-01-18
LAW00041051,"VIENTIANE, LA",1970-01-19,0,0,0,81,61,1970-01-19
LAW00041051,"VIENTIANE, LA",1970-01-20,0,0,0,79,57,1970-01-20
LAW00041051,"VIENTIANE, LA",1970-01-21,0,0,0,84,57,1970-01-21
LAW00041051,"VIENTIANE, LA",1970-01-22,0,0,0,86,61,1970-01-22
LAW00041051,"VIENTIANE, LA",1970-01-23,0,0,0,88,61,1970-01-23
LAW00041051,"VIENTIANE, LA",1970-01-24,0,0,0,88,63,1970-01-24
LAW00041051,"VIENTIANE, LA",1970-01-25,0,0,0,88,68,1970-01-25
LAW00041051,"VIENTIANE, LA",1970-01-26,0,0,0,90,63,1970-01-26
LAW00041051,"VIENTIANE, LA",1970-01-27,0,0,0,90,64,1970-01-27
LAW00041051,"VIENTIANE, LA",1970-01-28,0,0,0,91,57,1970-01-28
LAW00041051,"VIENTIANE, LA",1970-01-29,0,0,0,91,59,1970-01-29
LAW00041051,"VIENTIANE, LA",1970-01-30,0,0,0,82,61,1970-01-30
LAW00041051,"VIENTIANE, LA",1970-01-31,0,0,0,81,55,1970-01-31
LAW00041051,"VIENTIANE, LA",1970-02-01,0,0,0,81,54,1970-02-01
LAW00041051,"VIENTIANE, LA",1970-02-02,0,0,0,88,54,1970-02-02
LAW00041051,"VIENTIANE, LA",1970-02-03,0,0,0,88,57,1970-02-03
LAW00041051,"VIENTIANE, LA",1970-02-04,0,0,0,88,63,1970-02-04
LAW00041051,"VIENTIANE, LA",1970-02-05,0,0,0,84,59,1970-02-05
LAW00041051,"VIENTIANE, LA",1970-02-06,0,0,0,84,57,1970-02-06
LAW00041051,"VIENTIANE, LA",1970-02-07,0,0,0,86,57,1970-02-07
LAW00041051,"VIENTIANE, LA",1970-02-08,0,0,0,90,61,1970-02-08
LAW00041051,"VIENTIANE, LA",1970-02-09,0,0,0,88,63,1970-02-09
LAW00041051,"VIENTIANE, LA",1970-02-10,0,0,0,79,64,1970-02-10
LAW00041051,"VIENTIANE, LA",1970-02-11,0,0,0,82,64,1970-02-11
